"BehaviorSpace results (NetLogo 6.1.0)"
"Sugarscape Pension Law.nlogo"
"pensionsExperiments"
"08/12/2019 15:23:25:918 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","minimum-sugar-endowment","maximum-sugar-endowment","visualization","random-initial-age","resources-occupation","social-services","productivity-decay","initial-population","retirement-age","pension-taxes","fixed-fee","[step]","precision piggy-bank 2","precision  (   accumulated-gdp / ( ticks + 1) )  2","precision  ( (gini-index-reserve / count turtles) * 2)  2","died-working-turtles","died-retired-turtles","(died-retired-turtles + died-working-turtles)"
"168","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","880.88","0.46","3771","1000","4771"
"169","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","884.02","0.46","3719","1041","4760"
"171","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","0.3","880.12","0.47","3992","758","4750"
"170","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","883.71","0.44","3782","974","4756"
"172","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","1.1","878.55","0.47","3958","699","4657"
"173","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","3.9","881.39","0.47","4214","719","4933"
"174","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","1.4","879.78","0.47","4039","733","4772"
"175","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","1.8","879.61","0.48","3965","763","4728"
"176","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","2.7","881.82","0.47","4146","734","4880"
"177","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","0.4","883.04","0.46","4055","789","4844"
"178","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","0.9","881.56","0.47","4177","744","4921"
"179","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","1.9","879.11","0.47","4020","711","4731"
"180","5","25","no-visualization","true","true","false","false","400","65","0","0.1","1000","1.9","883.06","0.46","4234","779","5013"
"181","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","62509","870.19","0.49","5055","0","5055"
"182","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","62219.5","868.81","0.48","4904","9","4913"
"183","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","57869","867.49","0.45","4960","0","4960"
"184","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","58243.5","866.69","0.48","4976","11","4987"
"185","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","61474.5","870.15","0.47","4904","4","4908"
"186","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","59499","866.04","0.47","5054","0","5054"
"188","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","60685","868.72","0.46","4932","0","4932"
"187","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","63085.5","870.6","0.48","5030","8","5038"
"190","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","60553.5","869.19","0.48","5082","0","5082"
"189","5","25","no-visualization","true","true","false","false","400","65","0","0.5","1000","61710","869.19","0.47","4909","0","4909"
